FROM/ID,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
29588,0,0,0,0,0,1,2,14,4,3,2,1,0,1,1,0,1,0,1,1,1,0,0,0
13205,2,0,0,0,0,3,1,2,3,1,0,0,2,1,2,0,0,0,0,0,0,1,0,1
13206,1,2,0,0,1,5,30,34,20,4,7,5,1,1,3,10,3,3,2,2,2,4,3,3
29591,1,1,0,0,0,1,2,4,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2
13208,1,0,0,0,0,0,2,1,2,2,1,0,1,1,0,0,0,0,0,0,0,1,1,2
13209,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2
13210,2,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13211,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13212,2,0,0,0,0,3,1,3,3,1,0,1,0,0,3,0,0,0,0,0,0,1,0,1
13213,2,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13214,0,0,0,0,0,0,3,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
13217,0,0,0,0,0,8,1,4,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0
13219,1,1,0,0,0,1,3,5,1,2,0,1,1,1,0,1,0,0,2,1,0,1,0,0
13220,1,1,0,0,0,0,4,5,2,0,1,1,0,0,2,2,1,0,0,0,1,0,0,1
13221,1,1,0,0,0,1,0,8,2,2,0,1,0,2,0,1,0,0,1,0,1,1,0,0
13222,0,1,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
13223,0,1,0,0,0,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0
13225,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13226,3,1,0,0,0,2,1,3,1,2,1,0,2,2,1,2,1,0,1,1,0,1,1,0
13228,1,1,0,0,0,3,0,1,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0
13229,0,0,0,0,0,0,3,3,4,3,1,1,0,0,3,0,0,1,0,1,0,0,1,0
13232,0,0,0,0,0,3,0,6,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1
13233,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13235,1,0,0,0,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13236,0,0,0,0,0,0,3,2,2,3,0,1,0,1,1,0,0,0,1,0,0,1,0,0
13237,1,1,0,0,0,2,4,5,2,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0
13238,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13239,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29623,2,0,1,1,0,2,4,3,3,2,1,0,0,1,0,0,0,1,2,0,1,0,0,1
13241,0,0,0,0,0,0,3,5,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
13242,0,0,0,0,0,0,4,5,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
13243,0,0,0,0,0,0,4,5,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
13244,0,0,0,0,0,0,5,5,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
13245,1,0,0,0,0,1,3,1,4,0,2,2,0,0,0,2,1,2,0,0,0,0,0,0
29629,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13246,1,2,0,0,0,2,6,7,4,0,1,1,1,3,1,7,1,1,2,1,2,2,5,2
29634,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29635,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,0,1,1,0,1,0,0
13255,1,1,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13256,0,0,0,0,0,4,6,2,1,2,0,1,1,3,2,1,2,0,0,1,1,1,0,0
13257,0,1,0,0,0,2,6,0,1,2,0,1,1,2,2,1,2,0,0,1,1,0,1,0
13258,0,0,0,0,0,0,2,6,2,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0
13259,0,12,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
13262,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
29647,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13264,3,3,0,0,1,0,0,8,3,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1
13265,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0
13266,0,1,0,0,0,3,2,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0
13267,0,0,0,0,0,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13268,0,1,0,0,0,2,1,2,1,2,1,1,1,0,0,2,1,0,0,0,0,2,1,0
13269,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,2,1,0,0,1,1,0,1
13271,1,0,0,0,0,3,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
13272,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29657,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13275,1,2,1,0,1,5,19,25,12,2,8,3,0,1,1,4,3,3,2,2,1,2,4,3
13276,1,2,0,0,0,1,2,6,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1
13277,0,2,0,0,1,2,5,13,4,3,4,4,0,1,1,3,2,2,1,0,0,1,0,1
13279,0,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
13281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13284,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
13292,6,2,0,0,1,3,4,3,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0
13293,2,1,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
13294,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29678,4,0,1,0,1,2,3,11,6,3,0,0,0,0,0,3,1,1,4,2,0,1,1,0
13295,5,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
13296,0,3,1,0,0,1,5,6,1,2,3,0,0,1,1,1,0,1,1,1,0,0,1,1
13297,1,12,2,0,0,3,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
29681,0,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0
13298,0,10,0,0,0,2,3,1,1,1,0,1,1,2,1,1,1,0,0,0,0,0,1,1
13299,0,11,0,0,0,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
13300,0,9,0,0,0,1,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
13301,0,10,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
13302,0,10,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
13303,0,10,0,0,0,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
13304,0,11,0,0,0,2,1,2,1,0,1,0,1,2,1,1,1,0,1,1,0,1,1,1
13306,0,1,0,0,0,2,2,1,0,1,1,1,1,1,2,4,0,0,1,1,0,1,1,1
13307,5,4,1,0,1,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
13308,5,4,1,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
13309,5,4,1,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
13310,4,4,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
13311,4,4,1,0,1,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
13312,4,4,1,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
13313,4,4,1,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13314,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13315,7,1,0,0,0,2,8,6,1,2,1,1,0,2,0,0,0,1,1,0,1,0,0,1
13317,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13318,1,0,0,0,0,1,2,6,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
13319,0,1,0,0,0,4,8,13,14,8,2,7,3,2,2,3,1,1,1,3,2,1,1,0
13320,1,0,0,0,0,3,6,11,3,3,0,1,1,2,3,0,1,0,0,0,0,0,0,0
13321,1,2,0,0,0,2,4,8,2,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0
13322,1,2,0,0,0,5,11,18,6,5,2,2,0,0,2,1,0,0,0,3,0,1,2,3
13323,2,6,0,0,1,3,6,3,4,0,0,0,0,0,2,3,1,2,0,0,3,0,1,3
13324,2,5,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
13325,2,9,1,0,0,2,4,4,2,1,0,1,1,3,0,0,1,0,1,0,0,0,1,0
13326,4,7,0,0,1,2,9,6,1,0,0,1,0,2,1,0,0,1,1,0,2,0,0,2
13328,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13329,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,3,1,0,1,0,1,0,0,0
33815,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
33818,1,0,0,0,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33819,1,0,0,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13348,1,0,0,0,0,1,0,4,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0
13349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13353,0,1,0,0,0,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13354,1,1,0,0,0,3,8,21,9,7,6,1,5,1,5,2,3,0,2,5,2,3,2,5
13355,0,4,0,0,0,4,7,6,5,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0
13356,1,0,1,0,0,0,1,0,2,2,2,1,0,0,0,7,0,2,0,0,0,0,0,0
13357,0,2,0,0,0,3,5,0,2,3,1,0,2,1,1,4,1,0,1,1,1,0,1,1
13358,2,4,0,0,0,7,14,28,21,10,7,3,3,3,4,4,3,1,4,7,2,3,3,4
13359,0,0,0,0,0,3,3,3,5,3,1,1,0,0,3,1,1,1,0,1,0,0,1,1
13360,0,0,0,0,0,2,0,2,3,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
33841,0,1,0,0,0,0,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
13362,2,1,0,0,0,0,6,3,8,1,0,1,2,2,3,7,2,0,1,1,1,1,0,1
13365,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0
13366,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
33846,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13367,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0
33847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13368,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
33848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13369,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
13370,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
